cursor,author,mid,content,ctime,likes,score,final_watch,date
77038833297966,暮光之澜Kua,80165917,这番最好可以搞到像柯南那样变为连续复读机（误）的热度，反正我们的细胞可以几乎无限的产生故事，学完生物回家可以每天看到这样的番真是人生一大享受啊，评分9.7估计是因为大会员专属   （-_-||）,1549833509,0,10,看至幕后SP,2019-02-10 21:18:29
77038833297966,可羿1,27130381,硬核生物番 全程必修三,1549821735,0,8,看至Special,2019-02-10 18:02:15
77038833297966,馨之樱,19552737,用一种拟人化生动有趣的科普了人体知识，的确是很有创意好看啊啊啊啊！,1549794530,0,10,看至第6话,2019-02-10 10:28:50
77038833297966,婧娃儿,270766272,一开始看的时候并没有抱多大的兴趣，但是看着看着还是追了下去。白哥越来越帅啦,1549792997,0,10,看至第13话,2019-02-10 10:03:17
77038833297966,泰七是泰极泰拳的老母,15501193,我这币不要了,1549789554,0,10,看至第4话,2019-02-10 09:05:54
77038833297966,新洛克,10217711,讲解督导，编剧花了不少心思吧~,1549766929,0,10,看至Special,2019-02-10 02:48:49
77030243333943,我的红白无节操,510696,还不错的科普向动画,1549024886,0,8,看至Special,2019-02-01 12:41:26
77030243333943,纯净的必然美好,54379347,《工作细胞》是将细胞拟人化，简直天马行空、脑洞大开。虽说包含生物学，但科普不够严谨，易误导他人。,1538462729,1,8,看至Special,2018-10-02 06:45:29
77030243333943,魏鑫heroin,182038565,可爱可爱,1549691071,0,10,看至第7话,2019-02-09 05:44:31
77030243333943,贤臣u,54781940,好看,1549690833,0,8,看至Special,2019-02-09 05:40:33
77030243333943,半花容,648919,个人感觉这是一部非常好的作品，不仅仅给我们带来了娱乐，还学到了很多知识，让我们知道生命的可贵，非常喜欢！！！,1549690578,0,10,看至幕后SP,2019-02-09 05:36:18
77030243333943,化蝶-莊周,350642293,很有教育意义，同时也有趣,1549679304,0,10,看至Special,2019-02-09 02:28:24
77030243333943,中二喵-,321353429,很有趣，但是不是神作,1549636092,1,8,看至第13话,2019-02-08 14:28:12
77030243333943,桜の花島,223775979,很有创意的动画，科普向，简单易懂且有趣轻松，日本动画的广度和创意可见一斑。该动画看起来面向群体主要是中学生，更大年龄的人会觉得有一丝尬,1549545042,2,8,看至Special,2019-02-07 13:10:42
77030243333943,Go丶Somnus,38532972,萌！！！,1549655588,0,10,看至第3话,2019-02-08 19:53:08
77030243333943,柒柒静,14448378,非常的有意思,1549647979,0,10,看至第13话,2019-02-08 17:46:19
77030243333943,三硝基--甲苯,85713520,科普做得很不错，故事也比较有趣，可能是由于题材问题，人物塑造略有不足。,1549647480,0,8,看至第13话,2019-02-08 17:38:00
77030243333943,朕乃地球球长,55948389,既有看番的乐趣，又能复习高中生物知识，何乐而不为呢！,1549640181,0,10,看至第9话,2019-02-08 15:36:21
77030243333943,夏侑晞,5521957,啊～终于补完啦～每天都有这么多的细胞在加油！新的一年，我也不能再丧啦！,1549639925,0,10,看至第12话,2019-02-08 15:32:05
77030243333943,洞穴小蜘蛛,85479187,"非常好的番，讲的也是最近学的内容，就是中间有几话实在太尬了╮(￣▽￣"")╭",1549638972,0,8,看至Special,2019-02-08 15:16:12
77030243333943,梦竞_Jim,192917866,这部番可能是会员专享里播放最高的一部了！！这部番让我都得我还有这么多的细胞朋友在为我努力，所有我也不能辜负他们好好保持健康！！！这部番让我有了第一个老婆，虽然你们都说她是男的，但自己喜欢就能说她是女的,1549635029,0,10,看至第1话,2019-02-08 14:10:29
77030243333943,contemptiblen,220089857,很不错啦,1549634884,0,8,看至幕后SP,2019-02-08 14:08:04
77030243333943,居老师的小笼包0416,157233921,超好看(｡･ω･｡)ﾉ,1549633637,0,10,看至第1话,2019-02-08 13:47:17
77030243333943,-咲夜-布兰度,20660450,能将科普做的有趣就是一种能力,1549632479,0,10,看至Special,2019-02-08 13:27:59
77030243333943,搞怪丶莫吓我,15379394,没看到肝细胞,1549627952,0,10,看至Special,2019-02-08 12:12:32
77030243333943,MoOnCu,15456895,我们不管遇到什么困难挫折   都要勇敢的活下去  因为我们的体内还有37兆2千亿的细胞在为了我们的生命而努力的工作着,1549612990,0,10,看至第1话,2019-02-08 08:03:10
77021653373519,籹娤亣佬,927982,流弊，,1549611987,0,10,看至第1话,2019-02-08 07:46:27
77021653373519,IAIXY,2884179,超好看,1549611426,0,10,看至Special,2019-02-08 07:37:06
77021653373519,敢森吗,271262209,很好,1549609376,0,10,看至第11话,2019-02-08 07:02:56
